frameIdx or filename, face_detected(bool), BB_upperLeftCorner.x, BB_upperLeftCorner.y, BB_height, BB_width, isFemale, age; 
214, 1, 393, 589, 63, 63, 1, 23.1445;
215, 1, 657, 547, 173, 174, 0, 35.0586;
216, 1, 657, 558, 156, 156, 1, 29.6631;
216, 1, 378, 582, 74, 74, 0, 21.4966;
217, 1, 641, 546, 174, 176, 0, 29.7852;
217, 1, 376, 583, 76, 76, 0, 22.2778;
218, 1, 634, 543, 177, 180, 0, 28.6865;
218, 1, 376, 587, 72, 72, 0, 21.2158;
219, 1, 646, 546, 174, 175, 0, 28.9795;
220, 1, 900, 411, 62, 62, 0, 28.125;
220, 1, 617, 534, 100, 100, 0, 22.0337;
220, 1, 674, 573, 134, 134, 1, 28.5645;
221, 1, 581, 524, 114, 114, 0, 29.6387;
222, 1, 547, 524, 110, 110, 0, 24.9512;
222, 1, 679, 572, 126, 126, 1, 32.1533;
222, 1, 892, 422, 48, 48, 0, 30.3711;
222, 1, 372, 588, 70, 70, 0, 21.2769;
223, 1, 520, 523, 106, 106, 0, 28.4668;
223, 1, 676, 571, 130, 130, 1, 28.7109;
223, 1, 370, 589, 72, 72, 1, 21.936;
224, 1, 499, 529, 105, 105, 0, 24.5483;
224, 1, 368, 588, 75, 75, 1, 20.9106;
225, 1, 459, 532, 99, 99, 0, 23.1812;
225, 1, 363, 592, 70, 70, 1, 21.0815;
226, 1, 362, 593, 70, 70, 1, 21.1182;
226, 1, 117, 400, 218, 218, 0, 23.999;
227, 1, 406, 547, 92, 92, 0, 30.6641;
227, 1, 359, 593, 74, 74, 1, 20.8862;
229, 1, 332, 544, 115, 115, 0, 33.96;
229, 1, 146, 383, 224, 224, 1, 33.2764;
229, 1, 711, 594, 126, 135, 0, 26.9287;
229, 1, 822, 418, 54, 54, 0, 32.959;
230, 1, 312, 551, 114, 114, 0, 28.3936;
230, 1, 711, 596, 124, 134, 0, 26.7578;
230, 1, 156, 390, 219, 219, 1, 32.7637;
231, 1, 712, 597, 123, 130, 0, 26.7334;
231, 1, 177, 405, 206, 206, 1, 30.9082;
232, 1, 180, 409, 211, 211, 1, 32.1777;
232, 1, 709, 593, 127, 135, 0, 26.2695;
233, 1, 181, 413, 217, 217, 1, 27.2217;
233, 1, 705, 592, 128, 135, 0, 23.2422;
234, 1, 185, 417, 205, 205, 1, 31.5918;
234, 1, 701, 593, 127, 134, 0, 24.4751;
235, 1, 188, 418, 212, 212, 0, 26.4648;
235, 1, 701, 593, 127, 135, 0, 24.4873;
236, 1, 701, 596, 124, 132, 0, 23.0957;
236, 1, 354, 605, 73, 73, 1, 22.876;
236, 1, 190, 422, 214, 214, 0, 27.417;
237, 1, 352, 605, 76, 76, 1, 21.4478;
237, 1, 701, 597, 123, 132, 0, 22.3511;
237, 1, 192, 424, 219, 219, 0, 28.0273;
238, 1, 349, 605, 79, 79, 1, 21.936;
238, 1, 698, 594, 126, 136, 1, 22.8516;
238, 1, 206, 441, 201, 201, 0, 30.9326;
239, 1, 347, 604, 80, 80, 1, 21.9604;
239, 1, 704, 601, 119, 128, 1, 21.3013;
239, 1, 715, 424, 50, 50, 0, 31.7383;
240, 1, 349, 608, 75, 75, 1, 21.1792;
240, 1, 690, 588, 132, 145, 1, 25.1221;
241, 1, 348, 609, 74, 74, 1, 21.2646;
241, 1, 702, 598, 122, 134, 1, 22.1436;
241, 1, 213, 448, 192, 192, 0, 31.2012;
242, 1, 347, 609, 75, 75, 1, 21.7529;
242, 1, 716, 608, 112, 121, 1, 23.1201;
242, 1, 0, 430, 73, 61, 0, 40.5762;
243, 1, 347, 611, 73, 73, 1, 21.7163;
243, 1, 722, 612, 108, 116, 1, 22.9492;
243, 1, 217, 440, 205, 205, 0, 28.0273;
243, 1, 0, 430, 72, 61, 0, 35.8887;
244, 1, 345, 613, 69, 69, 1, 21.6187;
244, 1, 0, 431, 72, 63, 1, 38.9893;
244, 1, 216, 434, 210, 210, 0, 29.3945;
244, 1, 719, 614, 106, 114, 0, 22.0825;
245, 1, 0, 432, 70, 65, 0, 39.1113;
245, 1, 341, 610, 74, 74, 1, 23.4375;
245, 1, 218, 436, 219, 219, 0, 29.9316;
246, 1, 0, 433, 68, 66, 1, 38.9648;
246, 1, 337, 610, 76, 76, 1, 21.2524;
246, 1, 220, 437, 218, 218, 0, 29.1504;
247, 1, 0, 431, 66, 66, 1, 32.251;
247, 1, 340, 610, 73, 73, 1, 21.7529;
248, 1, 734, 625, 95, 99, 0, 23.7793;
248, 1, 1, 432, 64, 64, 0, 30.542;
249, 1, 727, 623, 97, 100, 0, 23.4009;
249, 1, 2, 433, 62, 62, 0, 32.5928;
250, 1, 726, 618, 102, 108, 0, 23.9624;
250, 1, 0, 433, 63, 63, 0, 33.3008;
251, 1, 725, 618, 102, 108, 0, 23.3154;
251, 1, 0, 434, 64, 61, 0, 34.082;
251, 1, 883, 400, 55, 55, 1, 28.833;
252, 1, 718, 613, 107, 115, 0, 22.8271;
252, 1, 876, 399, 57, 57, 1, 31.1523;
253, 1, 713, 606, 114, 122, 0, 23.3765;
253, 1, 1150, 461, 146, 130, 0, 30.5664;
253, 1, 870, 401, 51, 51, 0, 27.6855;
254, 1, 1119, 457, 150, 150, 0, 28.9307;
254, 1, 716, 608, 112, 120, 0, 24.2798;
255, 1, 1076, 455, 156, 156, 0, 33.5205;
255, 1, 851, 405, 50, 50, 1, 29.248;
255, 1, 720, 611, 109, 116, 0, 24.5605;
256, 1, 1037, 451, 158, 158, 0, 34.8389;
256, 1, 715, 609, 111, 121, 0, 24.7314;
256, 1, 275, 421, 238, 238, 0, 30.8838;
257, 1, 1005, 457, 156, 156, 0, 29.3701;
257, 1, 725, 617, 103, 110, 0, 23.4131;
257, 1, 286, 429, 222, 222, 0, 27.7344;
258, 1, 969, 463, 147, 147, 0, 29.3701;
258, 1, 727, 619, 101, 109, 0, 23.3032;
259, 1, 927, 472, 148, 148, 0, 36.5479;
259, 1, 731, 623, 97, 103, 0, 23.4741;
260, 1, 873, 465, 166, 166, 0, 37.085;
260, 1, 729, 622, 98, 104, 0, 23.8281;
261, 1, 857, 469, 134, 134, 0, 34.082;
261, 1, 782, 409, 52, 52, 1, 32.0312;
261, 1, 730, 624, 96, 103, 0, 24.4141;
262, 1, 775, 405, 57, 57, 1, 27.9053;
262, 1, 729, 621, 99, 106, 0, 23.6572;
263, 1, 759, 407, 54, 54, 0, 27.8076;
263, 1, 733, 625, 95, 103, 0, 24.1455;
264, 1, 738, 627, 93, 103, 0, 23.1323;
265, 1, 704, 421, 151, 151, 0, 29.0283;
265, 1, 729, 624, 96, 102, 0, 23.0713;
266, 1, 674, 415, 156, 156, 0, 35.0342;
266, 1, 727, 618, 102, 108, 0, 22.583;
267, 1, 647, 429, 142, 142, 0, 29.1504;
268, 1, 610, 430, 148, 148, 0, 33.5205;
269, 1, 555, 424, 168, 168, 1, 36.377;
270, 1, 531, 436, 162, 162, 0, 38.7207;
271, 1, 495, 447, 154, 154, 0, 36.7676;
272, 1, 457, 447, 162, 162, 0, 38.1104;
273, 1, 426, 453, 147, 147, 0, 32.373;
274, 1, 369, 443, 169, 169, 0, 33.3008;
275, 1, 348, 435, 150, 150, 0, 32.1289;
276, 1, 311, 430, 150, 150, 0, 29.2236;
276, 1, 732, 622, 98, 102, 0, 21.6431;
277, 1, 273, 415, 159, 159, 0, 33.0566;
277, 1, 731, 622, 98, 102, 0, 21.8262;
278, 1, 733, 625, 95, 98, 0, 21.6431;
279, 1, 730, 620, 100, 105, 0, 22.0581;
280, 1, 730, 619, 101, 106, 0, 21.8994;
281, 1, 728, 619, 101, 106, 0, 22.0703;
282, 1, 727, 617, 103, 110, 0, 22.0215;
283, 1, 717, 612, 108, 116, 0, 22.2534;
284, 1, 710, 611, 109, 118, 0, 23.2422;
285, 1, 506, 403, 49, 49, 1, 31.0059;
285, 1, 706, 613, 107, 116, 0, 22.8882;
286, 1, 703, 612, 108, 120, 0, 22.9004;
287, 1, 703, 615, 105, 116, 0, 22.7783;
288, 1, 342, 381, 56, 56, 0, 35.2539;
288, 1, 678, 601, 119, 132, 0, 23.7793;
289, 1, 678, 604, 116, 127, 0, 23.6938;
290, 1, 673, 598, 122, 133, 0, 24.1333;
291, 1, 674, 601, 119, 130, 0, 23.5474;
